nome,cpf,idade,data,endereco,estado
Sr. Vitor Gabriel Silva,640.***.***-01,90,,"trevo emanuel silva, 482",AP
Calebe Santos,651.***.***-46,40,,"recanto moraes, 7",PB
Maria Julia Castro,164.***.***-43,0,,"residencial de pereira, 20",AL
Arthur Da Rosa,085.***.***-30,53,,"parque almeida, 66",SE
Juan Pereira,520.***.***-21,68,,"rodovia de pereira, 51",BA
Dra. Ana Laura Ribeiro,210.***.***-20,69,,esplanada lavínia ramos,SP
Maria Clara Araújo,960.***.***-80,41,,"praça cavalcanti, 65",RO
Vitória Oliveira,302.***.***-83,31,,"esplanada monteiro, 88",GO
Benjamin Oliveira,451.***.***-84,49,,"ladeira monteiro, 57",CE
Pietro Barros,843.***.***-50,51,,"recanto luiz miguel jesus, 35",PB
Samuel Cavalcanti,520.***.***-01,89,,"ladeira de porto, 38",TO
Ian Da Costa,384.***.***-78,23,,"via de jesus, 57",PB
Dr. Emanuel Costa,736.***.***-19,55,,"lago castro, 94",RJ
Larissa Da Cruz,128.***.***-60,83,,"setor isadora da rosa, 583",RR
Diogo Carvalho,078.***.***-97,83,,"viaduto pedro lucas cavalcanti, 49",RS
Sr. Anthony Almeida,305.***.***-60,37,,"rua vitor hugo pinto, 21",RJ
Clara Martins,397.***.***-86,77,,"rodovia aragão, 245",MG
Dr. Luiz Felipe Cardoso,374.***.***-20,69,,"alameda de lima, 65",PE
Sr. Calebe Lopes,135.***.***-77,62,,"trecho lucas sales, 24",RO
Miguel Monteiro,097.***.***-41,54,,"passarela igor novaes, 89",SE
Srta. Catarina Da Mata,468.***.***-57,81,,"sítio luna carvalho, 98",AM
João Gabriel Araújo,625.***.***-25,73,,"esplanada de castro, 4",MT
Sr. Nicolas Azevedo,036.***.***-33,35,,"estrada de aragão, 1",AC
Kamilly Caldeira,508.***.***-47,45,,via gabriela nascimento,AP
Renan Araújo,186.***.***-57,79,,"travessa vinicius da mata, 52",CE
Vicente Nascimento,054.***.***-32,63,,largo vieira,DF
Isaac Rocha,873.***.***-69,57,,"área lucas gabriel silveira, 51",PE
Julia Das Neves,819.***.***-05,60,,"jardim isabelly gomes, 23",ES
Breno Rodrigues,196.***.***-34,95,,distrito de silveira,AM
Isabel Nogueira,968.***.***-65,63,,travessa ana júlia da rocha,TO
Anthony Araújo,208.***.***-26,38,,"avenida milena pires, 360",AP
Sra. Marina Da Cunha,067.***.***-95,55,,"rodovia marcelo souza, 25",RN
Helena Cardoso,853.***.***-39,51,,"pátio alexandre teixeira, 243",RR
Luigi Nunes,593.***.***-24,50,,"via clara da rosa, 928",RR
Srta. Raquel Da Costa,278.***.***-09,58,,"estação ribeiro, 46",PB
Sra. Ana Vitória Oliveira,120.***.***-17,61,,"sítio de cavalcanti, 97",PA
Luiza Campos,974.***.***-03,52,,"condomínio de rodrigues, 52",SC
Lucca Da Paz,526.***.***-95,71,,"rodovia vieira, 63",RN
